,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
50,137,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,1955,1955,98148,47.4258,-122.322,1190,9364
51,291,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1966,1966,98056,47.4934,-122.189,1990,9133
52,243,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,1950,1950,98117,47.6808,-122.384,1410,4080
53,279,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,1981,1981,98117,47.6989,-122.369,1480,6738
54,305,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,1927,1927,98105,47.6571,-122.281,2730,6000
55,10,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,1995,1995,98105,47.6597,-122.29,1950,5000
56,109,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,2008,2008,98042,47.3663,-122.114,2250,4500
57,340,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,2003,2003,98042,47.3663,-122.122,2690,4750
58,117,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,1968,1968,98008,47.588,-122.116,2960,11044
59,297,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,1991,1991,98059,47.5059,-122.149,2270,8542
60,222,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,1959,1959,98166,47.4336,-122.339,2570,18900
61,118,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,1954,1954,98148,47.4366,-122.335,1290,8750
62,172,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,1973,1973,98166,47.4428,-122.344,2500,9500
63,219,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,2014,2014,98115,47.6765,-122.32,1580,3090
64,32,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,1979,1979,98122,47.6113,-122.297,1440,4080
65,202,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1925,1925,98144,47.5747,-122.304,1440,4000
66,130,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,1989,1989,98004,47.5815,-122.192,2750,11049
67,160,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,2005,2005,98001,47.3378,-122.257,2221,4557
68,115,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,1968,1968,98042,47.3621,-122.11,1010,12635
69,41,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1965,1965,98004,47.6303,-122.215,3390,20158
70,133,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1973,1973,98005,47.6525,-122.16,3530,38917
71,248,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,1972,1972,98034,47.7362,-122.179,1640,4745
72,39,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,1916,1916,98125,47.7168,-122.287,1510,7807
73,69,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,2005,2005,98038,47.3608,-122.036,2420,5000
74,318,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,1965,1965,98042,47.3511,-122.073,1940,50529
75,187,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1986,1986,98075,47.5822,-121.987,3240,35020
76,164,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,1956,1956,98008,47.6034,-122.125,1680,7500
77,353,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,1941,1941,98116,47.5636,-122.394,890,5060
78,38,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,1956,1956,98133,47.7073,-122.34,1130,5693
79,325,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,2002,2002,98010,47.342,-122.025,3350,39750
80,214,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,2003,2003,98038,47.3512,-122.008,2350,5363
81,234,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,1992,1992,98038,47.349,-122.031,1870,6405
82,179,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1948,1948,98118,47.5474,-122.291,1720,6720
83,271,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,1964,1964,98059,47.4811,-122.149,1850,8797
84,31,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,1952,1952,98125,47.7264,-122.31,1570,7203
85,196,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,1925,1925,98119,47.6337,-122.365,2020,4800
86,185,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,1961,1961,98092,47.2909,-122.189,1590,8165
87,47,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,2006,2006,98056,47.5228,-122.199,1900,7349
88,17,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,1979,1979,98056,47.518,-122.194,1950,2025
89,125,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,2006,2006,98136,47.5394,-122.387,1030,1106
90,20,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,1988,1988,98023,47.2897,-122.372,1980,7510
91,313,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,2001,2001,98199,47.6506,-122.391,2520,6250
92,300,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,1962,1962,98023,47.322,-122.351,1350,10500
93,84,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,1939,1939,98117,47.687,-122.386,1570,4500
94,235,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,1939,1939,98117,47.687,-122.386,1570,4500
95,129,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,1946,1991,98040,47.5873,-122.249,1950,6045
96,332,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,1967,1967,98032,47.3576,-122.277,1750,15616
97,133,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,1975,1975,98023,47.3036,-122.378,1160,6400
98,70,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,1980,1980,98038,47.4109,-121.958,1650,135036
99,14,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,1992,1992,98045,47.4838,-121.714,2550,35065
100,40,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,1910,1910,98102,47.6415,-122.315,2200,4500
101,178,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,1929,1929,98117,47.6775,-122.372,1610,3478
102,224,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,1983,1983,98077,47.7731,-122.08,2570,47777
103,158,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,1950,2010,98004,47.5814,-122.196,2370,8113
104,145,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,1954,1954,98058,47.4375,-122.184,1640,14910
105,335,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,1978,1978,98058,47.4431,-122.133,2250,8162
106,21,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,1939,1939,98117,47.6878,-122.38,1240,4005
107,82,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,1985,1985,98198,47.3813,-122.322,1270,4966
108,307,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,1991,1991,98077,47.7304,-122.082,2990,35001
109,117,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,1942,1942,98052,47.6417,-122.109,2500,9433
110,84,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,1984,1984,98027,47.5386,-122.053,1940,9636
111,306,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,1905,1905,98103,47.6823,-122.349,1380,3536
112,137,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,1980,1980,98038,47.3624,-122.031,1540,11656
113,206,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1971,1971,98108,47.5474,-122.295,2090,5500
114,179,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,2001,2001,98001,47.3183,-122.253,2640,8517
115,203,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1900,1999,98117,47.6981,-122.368,1830,6350
116,55,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,2010,2010,98103,47.6824,-122.347,1620,3166
117,52,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,1945,1945,98178,47.5009,-122.248,1190,6780
118,251,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,1950,1950,98168,47.4965,-122.303,1880,9000
119,374,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,1925,1925,98144,47.587,-122.294,1610,4040
120,245,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,1964,1964,98177,47.7728,-122.386,2340,10856
121,201,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,1987,1987,98034,47.7288,-122.226,1580,9104
122,339,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,1953,1953,98117,47.6999,-122.364,1710,6000
123,186,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,1924,1924,98118,47.5299,-122.266,1850,4400
124,47,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,1990,1990,98052,47.6897,-122.098,2700,13992
125,304,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,1914,1992,98004,47.6141,-122.212,3060,11275
126,76,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,1967,1967,98178,47.5091,-122.244,2660,8712
127,76,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,1978,1978,98023,47.3129,-122.39,2090,8400
128,42,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,1926,1926,98103,47.6763,-122.352,1700,4960
129,339,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,2004,2004,98065,47.5319,-121.85,1970,3748
130,248,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,1986,1986,98092,47.2761,-122.152,1420,7680
131,361,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,1986,1986,98027,47.5343,-122.054,2060,9793
132,41,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1989,1989,98052,47.697,-122.072,2480,88500
133,10,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,2014,2014,98029,47.5517,-121.998,1690,1662
134,269,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,2005,2005,98107,47.6734,-122.38,1540,2285
135,103,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,1956,1956,98003,47.3257,-122.296,1550,19265
136,95,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1968,1968,98003,47.3309,-122.299,1750,8140
137,27,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1968,1968,98028,47.7689,-122.266,1550,10436
138,66,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,1981,1981,98125,47.7135,-122.287,1060,5715
139,5,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,2014,2014,98107,47.6722,-122.381,1350,1310
140,56,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,1925,1925,98119,47.6338,-122.358,1170,3600
141,67,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1968,1968,98006,47.5707,-122.128,2820,9375
142,371,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,1962,1962,98058,47.4563,-122.171,1610,8579
143,348,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,1923,1923,98133,47.7144,-122.351,1560,7940
144,301,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,1961,1961,98006,47.5495,-122.174,2230,8824
145,215,921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,1994,1994,98077,47.7421,-122.026,2840,87991
146,54,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,1905,1905,98109,47.6354,-122.353,2200,4000
147,96,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,2007,2007,98027,47.5262,-121.943,1940,193842
148,181,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1960,1960,98032,47.3887,-122.286,1360,18000
149,186,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,1947,1947,98103,47.6873,-122.336,1450,4599
150,110,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,1990,1990,98103,47.6838,-122.353,1500,3090
151,342,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,1947,1947,98107,47.655,-122.359,1420,5000
152,333,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,1954,1954,98003,47.3255,-122.304,1680,8633
153,334,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,2006,2006,98006,47.562,-122.162,3160,9750
154,14,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,1942,1942,98115,47.679,-122.3,1010,5100
155,87,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,1967,1967,98058,47.4479,-122.176,1190,7669
156,202,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1996,1996,98056,47.525,-122.172,2640,13675
157,97,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1967,1967,98023,47.3135,-122.369,1980,7875
158,195,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,1916,2013,98022,47.2086,-121.996,1160,7198
159,154,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,1968,1968,98059,47.4715,-122.118,1730,11180
160,5,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1962,1962,98146,47.4877,-122.335,1010,11680
161,311,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,1962,1962,98034,47.7171,-122.193,1200,9660
162,306,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,2000,2000,98075,47.6012,-122.023,3400,12601
163,49,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,1979,1979,98034,47.7319,-122.224,1710,8152
164,102,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1975,1975,98027,47.4582,-122.023,2110,36590
165,220,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,1976,1976,98034,47.7209,-122.168,1640,7500
166,293,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,1949,1949,98198,47.408,-122.327,1830,9750
167,326,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,1999,1999,98006,47.565,-122.125,2920,4500
168,34,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1979,1979,98034,47.7028,-122.231,2480,8750
169,40,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,1964,1964,98133,47.7458,-122.331,1770,7288
170,318,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,1954,1954,98166,47.4776,-122.337,1070,7920
171,245,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,1978,1978,98023,47.3026,-122.374,1930,7350
172,0,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,1955,1955,98133,47.7658,-122.339,1480,7940
173,259,917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1984,1984,98033,47.6477,-122.182,3740,35230
174,150,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,1980,1980,98006,47.5619,-122.125,2260,8335
175,284,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,2008,2008,98122,47.6106,-122.31,1590,1795
176,68,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,1986,1986,98144,47.5868,-122.308,1280,2150
177,28,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,1901,1901,98122,47.6101,-122.307,1200,4800
178,199,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,1975,1975,98022,47.1976,-121.999,1950,8941
179,250,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,1949,1949,98177,47.7224,-122.358,1540,8280
180,84,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,1988,1988,98030,47.3505,-122.179,1670,6183
181,347,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,1925,1925,98126,47.5384,-122.376,1410,5375
182,42,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,1961,1961,98034,47.7044,-122.2,2290,9600
183,82,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,1996,1996,98038,47.3848,-122.039,1050,3417
184,126,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,1993,1993,98052,47.6993,-122.102,2260,9984
185,203,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,1986,1986,98033,47.6627,-122.188,2540,10270
186,348,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,1969,1969,98023,47.3099,-122.379,2190,8910
187,3,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,1987,1987,98074,47.62,-122.043,2030,8744
188,351,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,1901,1901,98103,47.65,-122.34,1330,4400
189,217,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,1975,1975,98052,47.6647,-122.153,2230,9340
190,108,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,1977,1977,98034,47.726,-122.191,1540,8400
191,187,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,1959,1959,98058,47.4616,-122.184,1230,7980
192,133,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,1959,1959,98040,47.5505,-122.219,2680,10083
193,54,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,1962,1962,98133,47.7606,-122.336,1900,7818
194,213,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,1948,1948,98155,47.7481,-122.3,1570,10228
195,13,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,2003,2003,98023,47.2779,-122.347,2550,5001
196,193,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,1920,1920,98108,47.5511,-122.312,1500,6480
197,82,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,2007,2007,98126,47.5488,-122.372,1750,2385
198,256,440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,1997,1997,98024,47.5385,-121.911,2330,67268
199,165,385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1350,1969,1969,98038,47.4058,-121.994,1560,50965
200,313,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,1943,1943,98056,47.5093,-122.184,1300,9514
201,194,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,1994,1994,98042,47.3777,-122.165,2030,10450
202,75,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,1952,1952,98107,47.675,-122.394,1680,5000
203,94,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,1976,1976,98023,47.3025,-122.37,1430,7500
204,305,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,1962,1962,98059,47.4787,-122.158,1400,8040
205,94,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,1966,1966,98040,47.5378,-122.219,2770,10744
206,140,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,2010,2010,98052,47.7073,-122.114,2750,4587
207,279,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,1915,1915,98116,47.5733,-122.381,1290,5000
208,205,180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,1941,1941,98166,47.4604,-122.339,1250,14280
209,76,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,1920,1994,98133,47.7067,-122.343,1560,1312
210,355,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,1993,1993,98038,47.354,-122.047,1630,6397
211,76,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,2014,2014,98105,47.6647,-122.284,1160,1327
212,13,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,1983,1983,98074,47.6143,-122.017,2520,12368
213,257,465000.0,3,2.5,2714,17936,2.0,0,0,3,9,2714,2005,2005,98001,47.3185,-122.275,2590,18386
214,25,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,1978,1978,98118,47.5458,-122.268,2130,8700
215,258,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,1923,1923,98168,47.4889,-122.299,1100,14459
216,295,1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1870,1957,1991,98040,47.5673,-122.21,3836,20953
217,62,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,2000,2000,98146,47.5133,-122.379,1320,5390
218,118,1072000.0,2,2.25,3900,14864,1.0,0,3,3,8,1950,1947,1947,98144,47.5884,-122.291,2580,5184
219,174,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,1947,1947,98177,47.7145,-122.367,2120,12040
220,112,686000.0,4,2.5,2760,6440,2.0,0,0,3,10,2760,1999,1999,98075,47.5836,-122.026,3070,8127
221,34,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1350,1961,1961,98198,47.398,-122.299,1900,10125
222,125,527000.0,4,2.25,2330,19436,2.0,0,0,3,8,2330,1987,1987,98011,47.7663,-122.215,1910,10055
223,139,325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,1966,1966,98030,47.3758,-122.217,2080,9583
224,124,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,1994,1994,98038,47.3828,-122.023,2020,8031
225,33,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,1942,1942,98146,47.5123,-122.373,1280,7392
226,311,479950.0,2,2.0,1510,6516,1.0,0,0,3,8,1510,2005,2005,98053,47.7076,-122.013,1640,6009
